symbol,run_start_date,peak_date,peak_return_pct,sector,spike_count_90d,days_first_spike_to_run,days_last_spike_to_run,accum_price_trend,accum_price_change_pct,launch_vol_ratio,launch_change_pct,launch_gap_pct,launch_type,days_to_peak,max_drawdown_during_run_pct,run_style,ideal_entry_date,ideal_entry_price,ideal_entry_return_pct,days_entry_to_run,entry_window_days
CHRD,2020-05-26,2021-05-24,16371.25,Energy,8,78.0,8.0,dropping,-78.87,0.56,-1.85,5.88,quiet_start,363,-95.59,volatile_climb,2020-04-27,0.3279,16371.25,29.0,11
GME,2020-07-15,2021-01-27,8193.79,Consumer Cyclical,4,92.0,35.0,rising,11.47,0.37,1.45,1.23,quiet_start,196,-30.2,volatile_climb,2020-06-11,1.0925,7852.17,34.0,10
BTBT,2020-02-06,2021-01-04,7217.5,Financial Services,9,132.0,97.0,dropping,-13.19,0.0,0.0,0.0,quiet_start,333,-69.02,volatile_climb,,,,,0
MARA,2020-06-23,2021-04-05,5041.82,Financial Services,14,49.0,1.0,rising,8.39,2.85,-5.98,7.34,quiet_start,286,-67.78,volatile_climb,2020-06-04,1.09,5088.99,19.0,10
AXSM,2019-01-02,2019-12-26,3864.18,Healthcare,8,93.0,2.0,dropping,-10.56,1.66,-4.63,-0.35,quiet_start,358,-42.7,volatile_climb,2018-12-13,3.07,3360.59,20.0,6
NVAX,2019-11-08,2020-08-10,3789.11,Healthcare,6,86.0,53.0,flat,0.09,1.13,-1.08,3.11,quiet_start,276,-56.81,volatile_climb,2019-11-29,4.85,3580.62,-21.0,8
RIOT,2020-06-02,2021-02-17,3003.59,Financial Services,12,124.0,12.0,rising,21.95,5.67,-4.2,15.42,explosive_gap,260,-39.53,volatile_climb,2020-05-14,2.28,3316.67,19.0,29
BITF,2020-07-14,2021-02-22,2169.09,Financial Services,7,124.0,42.0,flat,2.57,0.0,0.0,0.0,quiet_start,223,-52.28,volatile_climb,,,,,0
RGTI,2024-06-14,2025-01-02,1928.4,Technology,9,123.0,94.0,dropping,-32.56,0.42,-2.38,-0.98,quiet_start,202,-46.25,volatile_climb,2024-07-01,0.999,1902.0,-17.0,8
FCEL,2019-12-09,2020-11-30,1900.0,Industrials,9,91.0,24.0,rising,58.9,0.6,-7.27,-1.79,quiet_start,357,-62.15,volatile_climb,2019-11-11,13.5,2166.67,28.0,2
QBTS,2024-06-17,2025-05-22,1500.0,Technology,7,126.0,19.0,dropping,-27.58,1.1,0.85,3.51,quiet_start,339,-62.49,volatile_climb,2024-05-31,1.35,1310.37,17.0,9
NIO,2020-02-28,2021-02-09,1421.55,Consumer Cyclical,7,115.0,3.0,rising,132.7,0.96,4.29,-4.35,gradual_push,347,-42.62,volatile_climb,2020-01-24,4.66,1248.5,35.0,9
