symbol,run_start_date,peak_return_pct,sector,eps_q0,eps_q1,eps_q2,eps_q3,eps_positive,eps_trend_improving,eps_acceleration,rev_acceleration,consecutive_improvements,quarters_available
CHRD,2020-05-26,16371.25,Energy,,,,,,,,,0,0
GME,2020-07-15,8193.79,Consumer Cyclical,,,,,,,,,0,0
BTBT,2020-02-06,7217.5,Financial Services,,,,,,,,,0,0
MARA,2020-06-23,5041.82,Financial Services,,,,,,,,,0,0
AXSM,2019-01-02,3864.18,Healthcare,,,,,,,,,0,0
NVAX,2019-11-08,3789.11,Healthcare,,,,,,,,,0,0
RIOT,2020-06-02,3003.59,Financial Services,,,,,,,,,0,0
BITF,2020-07-14,2169.09,Financial Services,,,,,,,,,0,0
RGTI,2024-06-14,1928.4,Technology,,,,,,,,,0,0
FCEL,2019-12-09,1900.0,Industrials,,,,,,,,,0,0
QBTS,2024-06-17,1500.0,Technology,,,,,,,,,0,0
NIO,2020-02-28,1421.55,Consumer Cyclical,,,,,,,,,0,0
SMMT,2023-12-01,1399.06,Healthcare,,,,,,,,,0,0
PR,2020-09-10,1320.54,Energy,,,,,,,,,0,0
QS,2020-08-17,1230.0,Consumer Cyclical,,,,,,,,,0,0
UPST,2020-12-16,1223.38,Financial Services,,,,,,,,,0,0
MTDR,2020-03-12,1221.29,Energy,,,,,,,,,0,0
PLUG,2020-02-21,1213.82,Industrials,,,,,,,,,0,0
CLSK,2020-07-08,1202.9,Financial Services,,,,,,,,,0,0
ASTS,2024-02-21,1121.52,Technology,,,,,,,,,0,0
MARA,2019-12-20,1097.92,Financial Services,,,,,,,,,0,0
CHRD,2019-11-21,1096.91,Energy,,,,,,,,,0,0
OVV,2020-03-12,1011.13,Energy,,,,,,,,,0,0
GME,2021-01-13,1006.72,Consumer Cyclical,,,,,,,,,0,0
CAR,2020-11-05,1005.45,Industrials,,,,,,,,,0,0
QXO,2023-07-03,988.08,Industrials,,,,,,,,,0,0
CELH,2020-02-21,987.19,Consumer Defensive,,,,,,,,,0,0
AMC,2020-09-10,953.03,Communication Services,,,,,,,,,0,0
HUT,2020-08-05,944.22,Financial Services,,,,,,,,,0,0
W,2020-03-12,937.58,Consumer Cyclical,,,,,,,,,0,0
CVNA,2023-05-11,928.18,Consumer Cyclical,,,,,,,,,0,0
AEHR,2021-03-11,908.63,Technology,,,,,,,,,0,0
ASTS,2023-08-21,889.74,Technology,,,,,,,,,0,0
DJT,2021-09-30,880.3,Communication Services,,,,,,,,,0,0
PR,2020-03-12,834.96,Energy,,,,,,,,,0,0
MSTR,2020-08-12,828.88,Technology,,,,,,,,,0,0
RIOT,2020-11-30,821.89,Financial Services,,,,,,,,,0,0
APLD,2022-06-17,797.22,Technology,,,,,,,,,0,0
IONQ,2024-10-09,760.48,Technology,,,,,,,,,0,0
MARA,2022-12-23,758.29,Financial Services,,,,,,,,,0,0
MSTR,2020-02-12,749.53,Technology,,,,,,,,,0,0
PENN,2020-03-12,748.8,Consumer Cyclical,,,,,,,,,0,0
TSLA,2020-01-15,748.62,Consumer Cyclical,,,,,,,,,0,0
LUNR,2022-02-22,745.26,Industrials,,,,,,,,,0,0
VKTX,2022-10-11,743.2,Healthcare,,,,,,,,,0,0
LUNR,2022-08-23,742.65,Industrials,,,,,,,,,0,0
