symbol,run_start_date,peak_return_pct,peak_date,sector,market_cap_at_start,pct_below_52w_high,pct_above_52w_low,ret_10d,ret_30d,ret_60d,has_base,dist_ma50_pct,dist_ma200_pct,above_ma200,avg_vol_30d,avg_vol_90d,spike_days_2x,spike_days_3x,vol_trend_increasing,max_vol_ratio_30d,vol_ratio_on_start,signals_present,signals_list,green_on_start,vix,spy_regime,days_since_correction,revenue_growth_yoy,eps_positive,gross_margin
CHRD,2020-05-26,16371.25,2021-05-24,Energy,7681460736.0,91.39,112.5,-1.92,54.55,-68.9,False,14.61,-76.78,False,50823753,28780769,7,3,True,11.89,0.56,1,vol_increasing,False,28.01,above_ma50,0,38.5,False,
GME,2020-07-15,8193.79,2021-01-27,Consumer Cyclical,10886549504.0,41.04,58.75,-5.99,-2.39,-27.27,False,-9.87,-16.79,False,15785720,15972258,3,0,True,2.66,0.37,2,"green_day,vol_increasing",True,27.76,above_ma50,19,-13.9,True,
BTBT,2020-02-06,7217.5,2021-01-04,Financial Services,587838976.0,97.05,2.56,0.0,0.0,0.0,True,0.0,-76.44,False,0,43799,0,0,False,0.0,0.0,1,base_present,False,14.96,above_ma50,386,24.9,False,
MARA,2020-06-23,5041.82,2021-04-05,Financial Services,4932692480.0,68.77,211.43,21.11,43.42,118.0,False,54.57,5.5,True,6602323,3053196,10,7,True,11.53,2.85,2,"above_ma200,vol_increasing",False,31.37,above_ma50,12,-5.6,False,
AXSM,2019-01-02,3864.18,2019-12-26,Healthcare,11186324480.0,52.61,45.36,1.81,-5.05,-19.89,False,-13.23,-8.75,False,298893,274313,3,1,False,8.63,1.66,0,,False,23.22,below_ma50,0,57.4,False,
NVAX,2019-11-08,3789.11,2020-08-10,Healthcare,1662469248.0,91.28,12.22,0.67,-20.21,-32.02,False,-13.94,-59.46,False,507820,756940,0,0,False,1.43,1.13,0,,False,12.07,above_ma50,296,-79.1,False,
RIOT,2020-06-02,3003.59,2021-02-17,Financial Services,9105882112.0,42.53,344.23,3.65,106.36,78.74,False,66.03,53.61,True,5666237,2871077,9,5,True,7.51,5.67,3,"vol_3x,above_ma200,vol_increasing",False,26.84,above_ma50,7,3.6,False,
BITF,2020-07-14,2169.09,2021-02-22,Financial Services,1199686528.0,77.78,10.89,1.55,-21.61,-6.74,False,-17.95,-33.19,False,3013,5118,2,2,False,5.8,0.0,0,,False,29.52,above_ma50,18,,False,
RGTI,2024-06-14,1928.4,2025-01-02,Technology,6294624768.0,70.26,17.24,-2.86,-22.14,-40.35,False,-13.31,-22.53,False,3347737,6094263,0,0,False,1.05,0.42,0,,False,12.66,above_ma50,227,-17.9,False,
FCEL,2019-12-09,1900.0,2020-11-30,Industrials,725796736.0,95.04,330.77,-26.32,75.0,40.0,False,21.37,-59.5,False,1054539,610330,6,3,True,10.05,0.6,1,vol_increasing,False,15.86,above_ma50,327,60.7,False,
QBTS,2024-06-17,1500.0,2025-05-22,Technology,8360524288.0,64.38,100.0,-13.64,-18.57,-40.0,False,-19.42,-5.96,False,3229887,4456528,1,0,False,2.86,1.1,1,green_day,True,12.75,above_ma50,230,19.2,False,
NIO,2020-02-28,1421.55,2021-02-09,Consumer Cyclical,14658152448.0,61.05,247.9,2.73,-3.5,69.67,False,8.99,40.49,True,90941973,66045422,4,3,True,3.58,0.96,3,"green_day,above_ma200,vol_increasing",True,40.11,below_ma50,0,75.9,False,
SMMT,2023-12-01,1399.06,2024-09-13,Healthcare,14033019904.0,64.88,207.58,9.14,10.33,31.82,False,7.93,9.31,True,883510,1001827,0,0,False,1.99,1.7,2,"green_day,above_ma200",True,12.63,above_ma50,31,,False,
PR,2020-09-10,1320.54,2021-06-25,Energy,16989492224.0,90.54,145.11,-24.41,-33.02,-57.65,False,-29.4,-67.37,False,7060063,12761208,0,0,False,1.07,1.05,0,,False,29.71,above_ma50,76,0.9,True,
MTDR,2020-03-12,1221.29,2021-03-05,Energy,6863340544.0,91.1,7.03,-79.35,-87.05,-87.23,False,-85.6,-87.22,False,6102143,3670164,6,3,True,8.08,4.8,3,"vol_3x,green_day,vol_increasing",True,75.47,below_ma50,0,0.8,True,
PLUG,2020-02-21,1213.82,2021-01-26,Industrials,4351855616.0,8.93,255.48,29.65,35.05,63.02,False,44.29,90.84,True,16710170,12428448,4,2,True,5.62,1.97,3,"above_ma200,near_52w_high,vol_increasing",False,17.08,above_ma50,401,17.6,False,
CLSK,2020-07-08,1202.9,2021-01-07,Financial Services,3631691264.0,87.56,188.66,33.97,33.33,60.0,False,32.92,-30.36,False,3168877,2967701,4,3,False,9.76,1.55,1,green_day,True,28.08,above_ma50,12,11.6,False,
ASTS,2024-02-21,1121.52,2024-08-19,Technology,29123674112.0,53.5,28.19,15.28,-32.79,-23.68,False,-22.06,-23.88,False,5670930,3300862,5,4,True,13.49,0.83,1,vol_increasing,False,15.34,above_ma50,113,2731.3,False,
MARA,2019-12-20,1097.92,2020-12-21,Financial Services,4932692480.0,75.57,7.78,-14.91,-26.52,-43.27,False,-24.88,-53.6,False,104303,81597,4,2,True,5.05,0.75,1,vol_increasing,False,12.51,above_ma50,338,-5.6,False,
CHRD,2019-11-21,1096.91,2020-11-20,Energy,7681460736.0,67.39,6.69,-15.28,-17.21,-20.56,False,-19.42,-45.1,False,13266563,12726387,1,0,True,2.66,0.94,1,vol_increasing,False,13.13,above_ma50,309,38.5,False,
OVV,2020-03-12,1011.13,2021-03-12,Energy,16385290240.0,92.37,31.22,-72.33,-81.98,-86.29,False,-82.38,-86.19,False,7774240,5318161,6,3,True,7.66,3.48,2,"vol_3x,vol_increasing",False,75.47,below_ma50,0,-6.0,True,
GME,2021-01-13,1006.72,2021-01-27,Consumer Cyclical,10886549504.0,10.74,676.26,2.94,20.47,49.89,False,32.58,137.9,True,45185373,46528711,4,0,True,2.75,12.42,5,"vol_3x,green_day,above_ma200,near_52w_high,vol_increasing",True,22.21,above_ma50,201,-13.9,True,
CAR,2020-11-05,1005.45,2021-11-02,Industrials,5148616192.0,46.45,346.77,-25.58,4.3,-9.91,False,-11.87,7.67,True,2562770,2815824,1,0,True,2.18,1.84,3,"green_day,above_ma200,vol_increasing",True,27.58,above_ma50,132,4.1,False,
QXO,2023-07-03,988.08,2024-06-10,Industrials,13599647744.0,32.6,49.78,10.49,11.96,8.01,False,6.81,1.8,True,716,709,3,1,True,3.91,0.6,2,"above_ma200,vol_increasing",False,13.57,above_ma50,33,14725.0,False,
CELH,2020-02-21,987.19,2021-01-19,Consumer Defensive,8254627328.0,0.77,109.8,11.65,46.24,43.62,False,24.07,48.56,True,1263790,1047710,3,3,True,3.6,2.4,4,"green_day,above_ma200,near_52w_high,vol_increasing",True,17.08,above_ma50,401,137.7,True,
AMC,2020-09-10,953.03,2021-06-02,Communication Services,1112625920.0,46.81,221.03,11.79,50.48,12.59,False,27.54,16.33,True,977663,836928,4,2,True,5.14,0.7,2,"above_ma200,vol_increasing",False,29.71,above_ma50,76,21.2,False,
HUT,2020-08-05,944.22,2021-02-22,Financial Services,11086016512.0,53.92,154.74,16.05,0.53,2.17,False,-4.57,-1.36,False,32421,43885,0,0,False,1.91,1.4,0,,False,22.99,above_ma50,40,225.5,False,
W,2020-03-12,937.58,2020-08-26,Consumer Cyclical,8746088448.0,74.09,2.09,-36.02,-56.69,-49.95,False,-48.67,-59.08,False,2981793,2533498,3,1,True,4.22,2.27,1,vol_increasing,False,75.47,below_ma50,0,7.4,False,
CVNA,2023-05-11,928.18,2024-05-06,Consumer Cyclical,61884190720.0,77.35,270.42,79.16,67.09,22.67,False,54.38,-16.28,False,80906317,117049922,3,1,False,3.39,1.02,0,,False,16.93,above_ma50,0,52.0,True,
AEHR,2021-03-11,908.63,2021-11-05,Technology,3058200064.0,31.94,122.73,-15.52,-2.0,19.51,False,-5.41,24.08,True,699407,501299,6,5,True,5.93,0.25,3,"green_day,above_ma200,vol_increasing",True,21.91,above_ma50,258,-43.7,False,
ASTS,2023-08-21,889.74,2024-08-19,Technology,29123674112.0,72.04,8.45,-12.3,-12.5,-26.67,False,-18.49,-27.07,False,2181873,2334086,1,0,False,2.98,0.6,1,green_day,True,17.13,below_ma50,82,2731.3,False,
PR,2020-03-12,834.96,2021-03-12,Energy,16989492224.0,95.51,2.5,-76.9,-85.0,-87.15,False,-84.67,-89.14,False,9061517,7122521,4,1,True,4.74,1.98,2,"green_day,vol_increasing",True,75.47,below_ma50,0,0.9,True,
MSTR,2020-08-12,828.88,2021-02-09,Technology,65740513280.0,18.25,49.88,9.9,14.03,12.29,False,11.78,1.76,True,693967,766633,1,1,False,4.36,2.36,3,"green_day,above_ma200,near_52w_high",True,22.28,above_ma50,47,11.9,False,
RIOT,2020-11-30,821.89,2021-02-17,Financial Services,9105882112.0,17.76,1123.09,57.04,100.96,97.78,False,65.65,148.89,True,15657017,11696297,5,3,True,7.03,3.97,5,"vol_3x,green_day,above_ma200,near_52w_high,vol_increasing",True,20.57,above_ma50,157,3.6,False,
APLD,2022-06-17,797.22,2023-06-06,Technology,11787993088.0,78.81,1.98,-76.32,-69.44,0.0,False,-69.45,-69.45,False,624447,550478,4,3,True,6.18,1.27,2,"green_day,vol_increasing",True,31.13,below_ma50,0,139.3,False,
IONQ,2024-10-09,760.48,2025-10-13,Technology,18379812864.0,42.47,53.54,25.82,31.18,5.76,False,24.65,6.76,True,7256947,5553621,4,2,True,8.15,1.22,2,"above_ma200,vol_increasing",False,20.86,above_ma50,344,754.7,True,
MARA,2022-12-23,758.29,2023-12-27,Financial Services,4932692480.0,91.0,5.46,-26.6,-63.23,-65.92,False,-56.26,-71.05,False,18465950,17112071,0,0,True,1.91,0.5,1,vol_increasing,False,20.87,below_ma50,0,-5.6,False,
