symbol,score,vol_score,price_score,market_score,fund_score,current_price,market_cap,sector,industry,max_vol_spike_30d,spike_days_2x,spike_days_3x,vol_trend_ratio,pct_from_52w_high,above_ma200,summary
IQV,90,40,25,10,15,227.69,29826699264,Healthcare,Diagnostics & Research,3.12,2,1,0.88,2.8,True,vol 2X spike (2d) | vol 3X spike (1d) | multiple spike events | above MA200
UNM,90,40,25,10,15,77.39,12922701824,Financial Services,Insurance - Life,3.52,1,1,1.04,5.7,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
AYI,90,40,25,10,15,364.43,8892347392,Industrials,Electrical Equipment & Parts,3.52,1,1,1.07,3.8,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
CCK,90,40,25,10,15,103.39,11307640832,Consumer Cyclical,Packaging & Containers,6.91,2,1,1.09,4.8,True,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | multiple spike events
XOM,90,40,25,10,15,120.19,599235035136,Energy,Oil & Gas Integrated,3.05,1,1,1.08,0.7,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
CNA,90,40,25,10,15,45.53,11778938880,Financial Services,Insurance - Property & Casualty,6.8,2,1,1.11,3.9,True,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | multiple spike events
TTC,90,40,25,10,15,79.17,9309401088,Industrials,Tools & Accessories,3.11,5,2,1.27,7.2,True,vol 2X spike (5d) | vol 3X spike (2d) | vol trend up | above MA200
TFSL,90,40,25,10,15,13.12,4234525184,Financial Services,Banks - Regional,3.13,3,1,1.24,8.0,True,vol 2X spike (3d) | vol 3X spike (1d) | vol trend up | multiple spike events
BWA,90,40,25,10,15,45.59,12577648640,Consumer Cyclical,Auto Parts,14.09,1,1,1.25,1.1,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
VLTO,90,40,25,10,15,101.08,21327839232,Industrials,Pollution & Treatment Controls,3.81,2,2,1.1,7.9,True,vol 2X spike (2d) | vol 3X spike (2d) | vol trend up | multiple spike events
NDAQ,90,40,25,10,15,97.87,50282233856,Financial Services,Financial Data & Stock Exchanges,3.14,1,1,1.11,1.4,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
NDSN,90,40,25,10,15,243.21,15816324096,Industrials,Specialty Industrial Machinery,4.94,5,2,1.29,2.6,True,vol 2X spike (5d) | vol 3X spike (2d) | vol trend up | multiple spike events
BMRN,90,40,25,10,15,58.99,10448956416,Healthcare,Biotechnology,6.99,2,2,1.11,19.8,True,vol 2X spike (2d) | vol 3X spike (2d) | vol trend up | multiple spike events
FTV,90,40,25,10,15,55.88,18422751232,Technology,Scientific & Technical Instruments,3.79,1,1,1.03,10.5,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
NLY,90,40,25,10,15,21.59,16568071168,Real Estate,REIT - Mortgage,3.26,1,1,1.05,1.5,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
BRK-B,90,40,25,10,15,503.71,1026532966400,Financial Services,Insurance - Diversified,3.19,2,1,1.01,7.1,True,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | multiple spike events
QSR,90,40,25,10,15,68.15,36374614016,Consumer Cyclical,Restaurants,3.09,1,1,1.05,5.9,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
THG,90,40,25,10,15,183.28,6617400832,Financial Services,Insurance - Property & Casualty,5.12,1,1,1.05,2.1,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
HHH,90,40,25,10,15,80.16,3921508864,Real Estate,Real Estate - Development,3.53,2,1,1.07,12.0,True,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | above MA200
RVTY,90,40,25,10,15,97.29,11292136448,Healthcare,Diagnostics & Research,9.05,2,1,1.08,23.9,True,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | multiple spike events
VRTX,90,40,25,10,15,453.74,109090652160,Healthcare,Biotechnology,3.82,1,1,1.0,12.7,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
FER,90,40,25,10,15,64.92,50500628480,Industrials,Engineering & Construction,36.82,2,1,1.51,4.7,True,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | multiple spike events
AM,90,40,25,10,15,17.46,9936581632,Energy,Oil & Gas Midstream,4.56,1,1,1.04,8.8,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
V,90,40,25,10,15,352.89,606256889856,Financial Services,Credit Services,3.05,2,1,1.08,5.5,True,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | multiple spike events
GWW,90,40,25,10,15,1019.16,58247294976,Industrials,Industrial Distribution,3.03,1,1,1.03,9.6,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
AMGN,90,40,25,10,15,326.43,179118014464,Healthcare,Drug Manufacturers - General,5.12,1,1,1.1,5.1,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
TSN,90,40,25,10,15,58.71,24078608384,Consumer Defensive,Farm Products,3.02,1,1,1.0,5.6,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
ZM,90,40,25,10,15,86.3,32188723200,Technology,Software - Application,4.12,2,2,1.1,5.6,True,vol 2X spike (2d) | vol 3X spike (2d) | vol trend up | above MA200
USFD,90,40,25,10,15,75.92,18586707968,Consumer Defensive,Food Distribution,3.64,3,1,1.1,10.8,True,vol 2X spike (3d) | vol 3X spike (1d) | vol trend up | multiple spike events
ALLE,90,40,25,10,15,160.52,11547201536,Industrials,Security & Protection Services,3.28,1,1,1.05,10.8,True,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | above MA200
