symbol,score,vol_score,accum_score,fund_score,current_price,market_cap,sector,industry,max_vol_spike_30d,spike_days_2x,spike_days_3x,vol_trend_ratio,price_30d_return_pct,price_trend,dist_ma200_pct,position_in_52w_range_pct,summary
VVV,100,50,30,20,29.45,4542835200,Consumer Cyclical,Auto & Truck Dealerships,2.62,6,0,1.24,-6.0,dropping,-16.2,1.3,2X spike (6d) | vol trend up | separate spike events | price down + vol up | near 52w low (1% range)
HIW,100,50,30,20,25.49,2855091968,Real Estate,REIT - Office,3.62,3,2,1.14,-6.3,dropping,-9.0,33.2,2X spike (3d) | vol trend up | separate spike events | price down + vol up | near 52w low (33% range)
OLLI,100,50,30,20,109.49,4986964992,Consumer Defensive,Discount Stores,3.08,3,1,1.11,-10.9,dropping,-10.2,31.2,2X spike (3d) | vol trend up | separate spike events | price down + vol up | near 52w low (31% range)
DBX,100,50,30,20,27.66,6896653824,Technology,Software - Infrastructure,2.64,2,0,1.06,-6.9,dropping,-3.2,36.4,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (36% range)
AZO,95,50,30,15,3398.85,57924251648,Consumer Cyclical,Auto Parts,2.74,2,0,1.09,-11.8,dropping,-11.0,19.3,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (19% range)
LNG,95,50,30,15,192.93,50455973888,Energy,Oil & Gas Midstream,2.33,2,0,1.05,-10.1,dropping,-14.0,10.5,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (10% range)
DVA,95,50,30,15,113.82,12750350336,Healthcare,Medical Care Facilities,5.85,2,1,1.03,-2.9,flat,-15.4,1.9,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (2% range)
EQIX,95,50,30,15,765.54,105733079040,Real Estate,REIT - Specialty,2.66,2,0,1.08,-0.3,flat,-3.6,31.7,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (32% range)
IRM,95,50,30,15,82.69,38333079552,Real Estate,REIT - Specialty,3.45,4,2,1.22,-5.0,dropping,-10.1,34.1,2X spike (4d) | vol trend up | separate spike events | price down + vol up | near 52w low (34% range)
CLX,95,50,30,15,98.46,11144112128,Consumer Defensive,Household & Personal Products,2.44,2,0,1.12,-0.4,flat,-17.0,6.7,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (7% range)
BF-B,95,50,30,15,26.09,12696915968,Consumer Defensive,Beverages - Wineries & Distilleries,3.11,2,2,1.17,-4.5,flat,-10.9,8.9,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (9% range)
S,95,50,25,20,15.27,5645187072,Technology,Software - Infrastructure,5.02,5,1,1.3,-5.5,dropping,-13.4,7.8,2X spike (5d) | vol trend up | separate spike events | price down + vol up | near 52w low (8% range)
APT,95,50,30,15,4.35,65797044,Industrials,Building Products & Equipment,2.98,2,0,1.18,-4.2,flat,-6.7,13.6,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (14% range)
VEEV,95,50,30,15,224.64,27146471424,Healthcare,Health Information Services,3.47,3,1,1.3,-18.9,dropping,-14.8,21.2,2X spike (3d) | vol trend up | separate spike events | price down + vol up | near 52w low (21% range)
GWRE,95,50,30,15,202.52,11770904576,Technology,Software - Application,2.62,5,0,1.22,-6.6,dropping,-7.8,34.8,2X spike (5d) | vol trend up | separate spike events | price down + vol up | near 52w low (35% range)
NFLX,95,50,30,15,93.78,368402759680,Communication Services,Entertainment,3.42,3,1,1.0,-15.0,dropping,-17.3,22.4,2X spike (3d) | vol trend up | separate spike events | price down + vol up | near 52w low (22% range)
DOCS,95,50,25,20,44.58,4891287552,Healthcare,Health Information Services,3.68,5,1,1.26,-5.3,dropping,-24.8,3.2,2X spike (5d) | vol trend up | separate spike events | price down + vol up | near 52w low (3% range)
PG,95,50,30,15,141.97,340953464832,Consumer Defensive,Household & Personal Products,2.29,2,0,1.14,-1.2,flat,-7.0,15.4,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (15% range)
CORT,95,50,25,20,70.2,5612341248,Healthcare,Biotechnology,2.99,3,0,1.03,-6.5,dropping,-5.2,31.0,2X spike (3d) | vol trend up | separate spike events | price down + vol up | near 52w low (31% range)
TYL,95,50,30,15,458.13,13686712320,Technology,Software - Application,4.03,2,1,1.03,-1.1,flat,-14.7,5.8,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (6% range)
VICI,95,50,30,15,27.89,31054340096,Real Estate,REIT - Diversified,2.66,6,0,1.22,-4.4,flat,-7.5,29.0,2X spike (6d) | vol trend up | separate spike events | price down + vol up | near 52w low (29% range)
CHPT,90,50,25,15,6.73,152357312,Consumer Cyclical,Specialty Retail,5.83,2,1,1.22,-16.5,dropping,-41.7,0.4,2X spike (2d) | vol trend up | separate spike events | price down + vol up | near 52w low (0% range)
OGE,90,50,20,20,42.23,9771824128,Utilities,Utilities - Regulated Electric,4.96,2,1,1.15,-3.5,flat,-2.5,52.4,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
IOT,90,50,25,15,35.98,17270501376,Technology,Software - Infrastructure,3.82,3,1,1.2,-1.3,flat,-8.0,15.0,2X spike (3d) | vol trend up | separate spike events | price down + vol up | near 52w low (15% range)
MOS,90,40,30,20,23.95,7053017600,Basic Materials,Agricultural Inputs,2.38,4,0,1.07,-0.6,flat,-20.9,14.9,2X spike (4d) | vol trend up | price down + vol up | near 52w low (15% range) | quiet/consolidating
WKHS,90,50,25,15,5.27,38235212,Consumer Cyclical,Auto Manufacturers,15.62,4,4,1.65,-20.3,dropping,-64.5,0.1,2X spike (4d) | vol trend up | separate spike events | price down + vol up | near 52w low (0% range)
PAYC,90,40,30,20,160.08,6381850624,Technology,Software - Application,3.07,1,1,1.02,-1.9,flat,-24.6,4.0,2X spike (1d) | vol trend up | price down + vol up | near 52w low (4% range) | quiet/consolidating
NTNX,90,50,25,15,51.96,12390048768,Technology,Software - Infrastructure,6.08,4,1,1.4,-19.6,dropping,-24.8,15.7,2X spike (4d) | vol trend up | separate spike events | price down + vol up | near 52w low (16% range)
CPNG,90,50,25,15,24.13,30480189440,Consumer Cyclical,Internet Retail,3.09,4,1,1.31,-13.2,dropping,-13.4,33.9,2X spike (4d) | vol trend up | separate spike events | price down + vol up | near 52w low (34% range)
POOL,90,40,30,20,229.7,6842903040,Industrials,Industrial Distribution,5.62,1,1,1.0,-2.8,flat,-20.8,2.6,2X spike (1d) | vol trend up | price down + vol up | near 52w low (3% range) | quiet/consolidating
ORCL,90,50,25,15,196.01,563561234432,Technology,Software - Infrastructure,3.71,3,1,1.17,-10.3,dropping,-8.1,34.9,2X spike (3d) | vol trend up | separate spike events | price down + vol up | near 52w low (35% range)
CXT,90,40,30,20,47.63,2607244800,Industrials,Specialty Industrial Machinery,3.49,4,1,1.19,-15.3,dropping,-14.9,24.0,2X spike (4d) | vol trend up | price down + vol up | near 52w low (24% range) | quiet/consolidating
CHWY,90,40,30,20,32.85,9571069952,Consumer Cyclical,Internet Retail,2.95,1,0,1.06,-5.2,dropping,-12.3,16.1,2X spike (1d) | vol trend up | price down + vol up | near 52w low (16% range) | quiet/consolidating
POST,90,40,30,20,99.35,4625169920,Consumer Defensive,Packaged Foods,2.86,3,0,1.23,-6.2,dropping,-7.9,17.3,2X spike (3d) | vol trend up | price down + vol up | near 52w low (17% range) | quiet/consolidating
MASI,90,40,30,20,131.07,9337931776,Healthcare,Medical Devices,2.08,1,0,1.02,-10.9,dropping,-14.0,1.9,2X spike (1d) | vol trend up | price down + vol up | near 52w low (2% range) | quiet/consolidating
ZS,90,50,25,15,227.42,24461090816,Technology,Software - Infrastructure,5.78,3,1,1.25,-22.9,dropping,-15.5,36.4,2X spike (3d) | vol trend up | separate spike events | price down + vol up | near 52w low (36% range)
PSKY,90,50,25,15,13.44,12411629568,Communication Services,Entertainment,4.25,4,1,1.26,-13.8,dropping,-2.0,33.3,2X spike (4d) | vol trend up | separate spike events | price down + vol up | near 52w low (33% range)
ACI,90,40,30,20,16.93,7922448384,Consumer Defensive,Grocery Stores,4.69,1,1,1.0,-4.8,flat,-12.0,11.4,2X spike (1d) | vol trend up | price down + vol up | near 52w low (11% range) | quiet/consolidating
XP,85,50,15,20,16.54,9904706560,Financial Services,Capital Markets,2.65,2,0,1.05,-7.7,dropping,-4.4,59.9,2X spike (2d) | vol trend up | separate spike events | price down + vol up | rev +13%
KO,85,50,20,15,69.59,337400659968,Consumer Defensive,Beverages - Non-Alcoholic,2.41,2,0,1.02,-0.2,flat,1.6,79.8,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
EHC,85,50,20,15,107.27,10525022208,Healthcare,Medical Care Facilities,2.46,2,0,1.04,-3.9,flat,-6.7,49.9,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
WDAY,85,40,30,15,216.93,31917303808,Technology,Software - Application,4.01,1,1,1.22,-3.6,flat,-7.6,14.8,2X spike (1d) | vol trend up | price down + vol up | near 52w low (15% range) | quiet/consolidating
A,85,50,20,15,137.06,32674480128,Healthcare,Diagnostics & Research,2.63,2,0,1.17,-4.8,flat,10.4,64.7,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
TMUS,85,40,30,15,202.82,209547296768,Communication Services,Telecom Services,3.57,1,1,1.01,-5.1,dropping,-12.4,12.4,2X spike (1d) | vol trend up | price down + vol up | near 52w low (12% range) | quiet/consolidating
WELL,85,50,20,15,187.34,151510417408,Real Estate,REIT - Healthcare Facilities,4.87,2,1,1.11,-4.7,flat,13.9,76.1,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
KR,85,40,30,15,62.37,41540218880,Consumer Defensive,Grocery Stores,3.31,1,1,1.05,-5.2,dropping,-7.0,33.3,2X spike (1d) | vol trend up | price down + vol up | near 52w low (33% range) | quiet/consolidating
KMB,85,40,30,15,100.33,32633055232,Consumer Defensive,Household & Personal Products,2.08,1,0,1.01,-0.8,flat,-17.4,7.4,2X spike (1d) | vol trend up | price down + vol up | near 52w low (7% range) | quiet/consolidating
PFGC,85,50,20,15,90.22,14628207616,Consumer Defensive,Food Distribution,2.52,3,0,1.17,-4.1,flat,-2.5,53.7,2X spike (3d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
ACHC,85,40,25,20,14.61,2315729664,Healthcare,Medical Care Facilities,5.3,1,1,1.16,-6.6,dropping,-33.9,5.7,2X spike (1d) | vol trend up | price down + vol up | near 52w low (6% range) | rev +8%
ETR,85,50,20,15,92.26,51095592960,Utilities,Utilities - Regulated Electric,2.27,2,0,1.01,-2.3,flat,6.8,82.0,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
FDS,85,50,15,20,289.9,8146364416,Financial Services,Financial Data & Stock Exchanges,4.92,3,1,1.02,6.9,rising,-20.9,17.6,2X spike (3d) | vol trend up | separate spike events | near 52w low (18% range) | quiet/consolidating
PVH,85,40,25,20,68.04,4099215616,Consumer Cyclical,Apparel Manufacturing,3.42,2,1,1.2,-10.5,dropping,-10.3,17.6,2X spike (2d) | vol trend up | price down + vol up | near 52w low (18% range) | rev +6%
SO,85,50,20,15,86.89,103486242816,Utilities,Utilities - Regulated Electric,2.07,2,0,1.01,-3.3,flat,-3.0,43.8,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
BJ,85,40,30,15,90.09,11871565824,Consumer Defensive,Discount Stores,2.22,2,0,1.1,-2.8,flat,-12.6,9.9,2X spike (2d) | vol trend up | price down + vol up | near 52w low (10% range) | quiet/consolidating
CHH,85,50,15,20,95.73,4848909824,Consumer Cyclical,Lodging,2.23,3,0,1.12,4.6,flat,-16.4,16.9,2X spike (3d) | vol trend up | separate spike events | near 52w low (17% range) | quiet/consolidating
DLR,85,50,20,15,155.33,69862203392,Real Estate,REIT - Specialty,2.97,2,0,1.11,-0.0,flat,-4.1,53.2,2X spike (2d) | vol trend up | separate spike events | price down + vol up | quiet/consolidating
CDW,85,40,30,15,137.7,13387283456,Technology,Information Technology Services,8.67,1,1,1.05,-0.9,flat,-14.4,4.0,2X spike (1d) | vol trend up | price down + vol up | near 52w low (4% range) | quiet/consolidating
