symbol,score,vol_score,accum_score,fund_score,current_price,market_cap,sector,rev_growth_pct,short_pct,max_vol_spike,spike_days,price_30d_ret,price_trend,position_in_range
VVV,95,40,25,30,29.45,4542835200,Consumer Cyclical,25.0,13.0,2.62,6,-6.0,dropping,1.3
HIW,95,40,30,25,25.49,2855091968,Real Estate,7.6,9.2,3.62,3,-6.3,dropping,33.2
IOT,95,40,30,25,35.98,17270501376,Technology,28.3,10.3,3.82,3,-1.3,flat,15.0
UWMC,95,35,30,30,4.3,5505906688,Financial Services,24.4,11.5,4.32,3,-7.9,dropping,23.7
DOCS,95,40,30,25,44.58,4891287552,Healthcare,9.8,11.5,3.68,5,-5.3,dropping,3.2
ZS,95,40,30,25,227.42,24461090816,Technology,25.9,10.1,5.78,3,-22.9,dropping,36.4
GTLB,95,35,30,30,38.16,4386770944,Technology,23.2,11.4,4.62,2,-10.5,dropping,6.1
CHPT,90,40,30,20,6.73,152357312,Consumer Cyclical,7.3,16.1,5.83,2,-16.5,dropping,0.4
DVA,90,40,30,20,113.82,12750350336,Healthcare,6.0,17.1,5.85,2,-2.9,flat,1.9
TPL,90,35,30,25,292.35,27189721088,Energy,20.8,8.9,3.0,1,-8.1,dropping,10.9
ACHC,90,35,30,25,14.61,2315729664,Healthcare,7.6,37.2,5.3,1,-6.6,dropping,5.7
PVH,90,35,30,25,68.04,4099215616,Consumer Cyclical,5.6,10.5,3.42,2,-10.5,dropping,17.6
PAYC,90,35,30,25,160.08,6381850624,Technology,7.8,11.5,3.07,1,-1.9,flat,4.0
S,90,40,30,20,15.27,5645187072,Technology,20.2,7.5,5.02,5,-5.5,dropping,7.8
POOL,90,35,30,25,229.7,6842903040,Industrials,6.2,11.3,5.62,1,-2.8,flat,2.6
CXT,90,35,30,25,47.63,2607244800,Industrials,17.4,14.9,3.49,4,-15.3,dropping,24.0
ACI,90,35,30,25,16.93,7922448384,Consumer Defensive,7.7,12.4,4.69,1,-4.8,flat,11.4
WDAY,85,35,30,20,216.93,31917303808,Technology,14.5,9.2,4.01,1,-3.6,flat,14.8
IRM,85,40,30,15,82.69,38333079552,Real Estate,21.6,3.7,3.45,4,-5.0,dropping,34.1
WKHS,85,40,30,15,5.27,38235212,Consumer Cyclical,63.7,4.1,15.62,4,-20.3,dropping,0.1
BF-B,85,40,30,15,26.09,12696915968,Consumer Defensive,2.0,12.5,3.11,2,-4.5,flat,8.9
MTN,85,40,30,15,130.97,4469097472,Consumer Cyclical,-4.7,34.5,3.18,2,-3.2,flat,16.1
TTD,85,35,30,20,38.12,10850100224,Communication Services,14.3,19.8,4.53,1,-5.2,dropping,2.7
ORCL,85,40,30,15,196.01,563561234432,Technology,21.7,1.7,3.71,3,-10.3,dropping,34.9
OLLI,85,40,30,15,109.49,4986964992,Consumer Defensive,16.8,7.3,3.08,3,-10.9,dropping,31.2
RDW,85,40,15,30,7.94,2202030080,Industrials,57.9,16.2,4.35,4,45.2,rising,14.1
DBX,85,40,25,20,27.66,6896653824,Technology,0.8,25.2,2.64,2,-6.9,dropping,36.4
MASI,85,35,25,25,131.07,9337931776,Healthcare,8.5,8.0,2.08,1,-10.9,dropping,1.9
CORT,85,40,25,20,70.2,5612341248,Healthcare,4.9,13.6,2.99,3,-6.5,dropping,31.0
PSKY,85,40,30,15,13.44,12411629568,Communication Services,2.2,16.7,4.25,4,-13.8,dropping,33.3
DKS,80,35,20,25,197.69,20198457344,Consumer Cyclical,59.9,12.7,4.42,1,-4.2,flat,41.6
IPGP,80,35,20,25,72.83,4434933248,Technology,16.6,13.2,3.12,1,-4.8,flat,55.6
PSN,80,35,30,15,62.25,5261203456,Technology,-4.1,14.2,9.22,5,-23.6,dropping,17.7
FDS,80,40,15,25,289.9,8146364416,Financial Services,7.1,15.0,4.92,3,6.9,rising,17.6
MSTR,80,35,25,20,155.61,65740513280,Technology,11.9,11.4,2.89,2,-20.4,dropping,0.5
NOW,80,35,30,15,154.23,94034665472,Technology,22.1,3.8,3.77,3,-7.7,dropping,17.8
HHH,80,35,20,25,80.16,3921508864,Real Estate,18.4,9.7,3.53,2,-3.5,flat,63.2
SPCE,80,40,30,10,3.3,277583648,Industrials,-27.3,20.8,3.65,3,-7.8,dropping,24.4
NTNX,80,40,30,10,51.96,12390048768,Technology,10.4,5.5,6.08,4,-19.6,dropping,15.7
CPNG,80,40,30,10,24.13,30480189440,Consumer Cyclical,7.5,2.9,3.09,4,-13.2,dropping,33.9
VEEV,80,40,30,10,224.64,27146471424,Healthcare,16.0,3.9,3.47,3,-18.9,dropping,21.2
