symbol,run_start_date,run_start_price,peak_price,peak_date,peak_return_pct,price_30d_after_peak,price_90d_after_peak,sector,industry,market_cap_at_start
BBAI,2022-11-09,1.01,6.11,2023-02-06,504.95,1.87,2.56,Technology,Information Technology Services,2002008576
BBAI,2024-04-19,1.45,9.78,2025-02-13,574.48,3.04,4.81,Technology,Information Technology Services,2002008576
BBAI,2024-10-25,1.59,9.78,2025-02-13,515.09,3.04,4.81,Technology,Information Technology Services,2002008576
CRWD,2020-03-13,39.55,242.42,2021-02-16,512.95,175.28,253.7,Technology,Software - Infrastructure,134336749568
CVNA,2020-03-12,9.026,62.968,2021-03-02,597.63,54.018,64.684,Consumer Cyclical,Auto & Truck Dealerships,61884190720
CVNA,2022-11-08,1.472,11.172,2023-09-14,658.97,5.82,8.406,Consumer Cyclical,Auto & Truck Dealerships,61884190720
CVNA,2023-05-11,2.392,24.594,2024-05-06,928.18,22.156,28.38,Consumer Cyclical,Auto & Truck Dealerships,61884190720
CVNA,2023-11-09,6.088,50.012,2024-11-11,721.48,44.778,44.332,Consumer Cyclical,Auto & Truck Dealerships,61884190720
ETSY,2020-03-19,34.66,244.58,2021-03-01,605.65,224.03,196.02,Consumer Cyclical,Internet Retail,6109419008
SE,2019-10-10,27.85,172.12,2020-10-09,518.03,183.11,280.0,Consumer Cyclical,Internet Retail,53120786432
DKNG,2019-10-04,9.92,63.78,2020-10-02,542.94,42.84,59.19,Consumer Cyclical,Gambling,12651357184
PTON,2019-10-24,21.34,136.43,2020-10-15,539.32,108.98,115.21,Consumer Cyclical,Leisure,2463724032
APLD,2022-06-17,1.08,9.69,2023-06-06,797.22,7.73,5.13,Technology,Information Technology Services,11787993088
APLD,2022-12-16,1.61,10.24,2023-07-25,536.02,5.64,4.67,Technology,Information Technology Services,11787993088
FUTU,2020-01-14,10.2212,68.1638,2021-01-12,566.89,148.0872,119.2217,Financial Services,Capital Markets,20270721024
FUTU,2020-07-15,28.6251,183.6547,2021-02-16,541.59,132.5583,161.645,Financial Services,Capital Markets,20270721024
MP,2024-08-02,11.17,68.39,2025-08-05,512.26,66.81,60.01,Basic Materials,Other Industrial Metals & Mining,12003820544
RIOT,2019-11-29,1.39,8.45,2020-11-30,507.91,23.88,51.53,Financial Services,Capital Markets,9105882112
RIOT,2020-06-02,2.51,77.9,2021-02-17,3003.59,53.27,32.97,Financial Services,Capital Markets,9105882112
RIOT,2020-11-30,8.45,77.9,2021-02-17,821.89,53.27,32.97,Financial Services,Capital Markets,9105882112
RIOT,2023-01-03,3.37,20.29,2023-07-13,502.08,10.36,10.48,Financial Services,Capital Markets,9105882112
VKTX,2022-04-11,2.74,18.62,2023-04-13,579.56,20.9,14.37,Healthcare,Biotechnology,3637589760
VKTX,2022-10-11,2.94,24.79,2023-06-08,743.2,14.51,10.72,Healthcare,Biotechnology,3637589760
VKTX,2023-07-03,15.44,94.5,2024-02-28,512.05,70.87,54.15,Healthcare,Biotechnology,3637589760
LUNR,2022-02-22,9.7,81.99,2023-02-22,745.26,10.14,8.06,Industrials,Aerospace & Defense,4634095104
LUNR,2022-08-23,9.73,81.99,2023-02-22,742.65,10.14,8.06,Industrials,Aerospace & Defense,4634095104
LUNR,2023-12-22,2.5,16.65,2024-12-24,566.0,19.93,8.93,Industrials,Aerospace & Defense,4634095104
LUNR,2024-06-26,3.48,23.07,2025-01-24,562.93,6.78,11.06,Industrials,Aerospace & Defense,4634095104
NVAX,2019-05-13,5.76,39.82,2020-05-12,591.32,77.5,108.36,Healthcare,Biotechnology,1662469248
NVAX,2019-11-08,4.59,178.51,2020-08-10,3789.11,111.63,120.88,Healthcare,Biotechnology,1662469248
NVAX,2020-05-12,39.82,319.93,2021-02-08,703.44,219.84,179.89,Healthcare,Biotechnology,1662469248
OPEN,2024-10-31,1.75,10.52,2025-09-11,501.14,7.03,,Real Estate,Real Estate Services,4833330688
RGTI,2023-03-20,0.514,3.25,2023-08-01,532.3,2.0,1.05,Technology,Computer Hardware,6294624768
RGTI,2023-12-13,0.982,7.38,2024-12-11,651.53,13.08,9.3,Technology,Computer Hardware,6294624768
RGTI,2024-06-14,0.986,20.0,2025-01-02,1928.4,10.52,11.64,Technology,Computer Hardware,6294624768
RGTI,2024-12-13,7.16,56.34,2025-10-15,686.87,25.57,,Technology,Computer Hardware,6294624768
AR,2020-02-27,1.37,9.78,2021-02-17,613.87,10.2,15.06,Energy,Oil & Gas E&P,11135505408
AR,2020-09-10,2.65,16.28,2021-09-03,514.34,19.81,20.76,Energy,Oil & Gas E&P,11135505408
RKLB,2023-12-18,4.49,27.28,2024-11-29,507.57,24.87,19.63,Industrials,Aerospace & Defense,61040865280
RKLB,2024-06-20,4.8,33.46,2025-06-24,597.08,44.1,60.92,Industrials,Aerospace & Defense,61040865280
