symbol,year,ytd_return,jan_price,dec_price,market_cap,sector,industry,52w_low_before,avg_daily_volume_last_3m,avg_daily_volume_prior_year,avg_vix_that_year,best_month,best_month_return_pct,breakout_timing,catalyst_type,current_market_cap,days_below_10_prior_year,days_below_20_prior_year,days_to_50pct_gain,debt_to_equity,entry_price,float_shares,free_cash_flow,insider_ownership_pct,institutional_ownership_pct,ipo_date,max_daily_move_6m_before_pct,max_drawdown_during_explosion_pct,monthly_prices_prior_year,monthly_returns_explosion_year,news_during_explosion,outperformance_vs_sector,pct_above_52w_low_at_entry,pct_of_year_to_50pct_gain,pe_ratio,price_to_book,prior_year_daily_volatility_pct,prior_year_price_trend_pct,recently_iped,revenue_growth_yoy,sector_etf_return,sector_etf_used,shares_outstanding,short_pct_of_float,spy_return_that_year,total_cash,trailing_eps,volume_ratio_3m_vs_12m,was_profitable,years_since_ipo
RIOT,2017,733.68,3.4066,28.4,1288209980.0,Financial Services,Capital Markets,1.9084,76068,67423,11.09,2017-11,94.24,Late,Unknown,9105882112,192,192,225,36.63,3.4066,348451232,-445848640,0.07616,0.79917,2016-03-31,46.67,-44.15,"{""2016-03"": 2.4078, ""2016-04"": 2.6606, ""2016-05"": 2.9614, ""2016-06"": 3.1136, ""2016-07"": 3.105, ""2016-08"": 2.922, ""2016-09"": 3.3433, ""2016-10"": 2.3543, ""2016-11"": 2.4322, ""2016-12"": 3.417}","{""2017-01"": -17.54, ""2017-02"": -5.23, ""2017-03"": 27.39, ""2017-04"": -5.68, ""2017-05"": 6.28, ""2017-06"": 7.37, ""2017-07"": -3.36, ""2017-08"": 6.74, ""2017-09"": 34.03, ""2017-10"": 18.31, ""2017-11"": 94.24, ""2017-12"": 89.33}",None found (historical),713.03,78.51,89.6,-39.129658,3.1301184,6.2839,28.35,Yes,3.6,20.65,XLF,378151230,0.1423,20.78,205666000,-2.49,1.13,No,0.8
NVAX,2020,2383.52,4.49,111.51,738327154.0,Healthcare,Biotechnology,3.54,839662,845833,29.28,2020-05,165.67,Mid,COVID/Biotech,1662469248,168,212,117,N/A,4.49,141464469,58573936,0.05009,0.72733,1995-12-05,40.47,-56.81,"{""2019-01"": 43.0, ""2019-02"": 41.5053, ""2019-03"": 11.1619, ""2019-04"": 10.9429, ""2019-05"": 7.0345, ""2019-06"": 5.547, ""2019-07"": 4.7759, ""2019-08"": 5.6641, ""2019-09"": 6.03, ""2019-10"": 4.6243, ""2019-11"": 4.1535, ""2019-12"": 4.2085}","{""2020-01"": 69.71, ""2020-02"": 134.95, ""2020-03"": 12.98, ""2020-04"": 29.22, ""2020-05"": 165.67, ""2020-06"": 57.8, ""2020-07"": 79.55, ""2020-08"": -29.21, ""2020-09"": 3.11, ""2020-10"": -23.06, ""2020-11"": 69.3, ""2020-12"": -3.65}",None found (historical),2371.7,26.84,46.4,-18.632166,-12.862595,7.0925,-90.17,No,-79.1,11.82,XLV,164438119,0.2854,16.64,790332032,-0.56,0.99,No,24.1
NIO,2020,1210.22,3.72,48.74,8768661322.0,Consumer Cyclical,Auto Manufacturers,1.19,45536587,32363492,29.28,2020-06,81.22,Late,Unknown,14658152448,249,251,198,246.311,3.72,1895456607,-1905713792,1.0000001e-05,0.26669002,2018-09-12,53.72,-54.16,"{""2019-01"": 6.6924, ""2019-02"": 8.1011, ""2019-03"": 6.5633, ""2019-04"": 4.9948, ""2019-05"": 4.3155, ""2019-06"": 2.6555, ""2019-07"": 3.3773, ""2019-08"": 3.0159, ""2019-09"": 2.757, ""2019-10"": 1.5335, ""2019-11"": 1.9675, ""2019-12"": 2.503}","{""2020-01"": 1.61, ""2020-02"": 1.72, ""2020-03"": -32.36, ""2020-04"": 28.68, ""2020-05"": 25.16, ""2020-06"": 81.22, ""2020-07"": 50.95, ""2020-08"": 39.93, ""2020-09"": 5.47, ""2020-10"": 40.53, ""2020-11"": 51.65, ""2020-12"": 6.66}",None found (historical),1182.18,212.61,78.6,-294.2652,23.76546,6.5576,-62.26,Yes,75.9,28.04,XLY,2357167022,0.0723,16.64,31328813056,-1.01,1.41,No,1.3
PLUG,2020,946.6,3.24,33.91,4519234850.0,Industrials,Electrical Equipment & Parts,1.23,8749468,5228039,29.28,2020-06,91.82,Late,EV Mania,4351855616,251,251,214,99.388,3.24,1330516231,-351780128,0.045,0.57418996,1999-10-29,11.05,-51.75,"{""2019-01"": 1.4029, ""2019-02"": 1.5637, ""2019-03"": 2.25, ""2019-04"": 2.5538, ""2019-05"": 2.4755, ""2019-06"": 2.413, ""2019-07"": 2.2864, ""2019-08"": 2.1286, ""2019-09"": 2.56, ""2019-10"": 2.7409, ""2019-11"": 3.2875, ""2019-12"": 3.1315}","{""2020-01"": 19.44, ""2020-02"": 12.73, ""2020-03"": -18.81, ""2020-04"": 26.28, ""2020-05"": 7.4, ""2020-06"": 91.82, ""2020-07"": -13.08, ""2020-08"": 41.7, ""2020-09"": -5.1, ""2020-10"": 0.0, ""2020-11"": 70.59, ""2020-12"": 39.72}",None found (historical),938.26,163.41,84.9,-14.857142,4.444444,3.7755,122.96,No,17.6,8.34,XLI,1394825571,0.2784,16.64,378740000,-1.42,1.67,No,20.2
QS,2020,753.03,9.9,84.45,5725550497.0,Consumer Cyclical,Auto Parts,,,,29.28,2020-11,291.34,Late,Unknown,4638194176,,,79,6.235,,486493635,-148616128,0.136,0.4022,2020-08-17,,-48.49,,"{""2020-08"": 0.0, ""2020-09"": 68.34, ""2020-10"": -29.13, ""2020-11"": 291.34, ""2020-12"": 177.5}",None found (historical),724.99,,83.2,-12.203807,4.1796007,,,Yes,N/A,28.04,XLY,578338434,0.1863,16.64,904704000,-0.71,,No,-0.6
TSLA,2020,720.05,28.684,235.2233,107729183516.0,Consumer Cyclical,Auto Manufacturers,11.7993,138701833,137316496,29.28,2020-08,67.78,Mid,Unknown,1608764358656,0,176,160,18.738,28.684,2815929087,5251999744,0.11115,0.46085,2010-06-29,17.67,-60.63,"{""2019-01"": 21.233, ""2019-02"": 20.5152, ""2019-03"": 18.5171, ""2019-04"": 17.777, ""2019-05"": 14.6477, ""2019-06"": 14.2478, ""2019-07"": 16.1588, ""2019-08"": 15.0068, ""2019-09"": 15.8174, ""2019-10"": 17.757, ""2019-11"": 22.5533, ""2019-12"": 25.0442}","{""2020-01"": 51.2, ""2020-02"": -14.36, ""2020-03"": -29.53, ""2020-04"": 62.36, ""2020-05"": 19.06, ""2020-06"": 20.23, ""2020-07"": 27.79, ""2020-08"": 67.78, ""2020-09"": -9.69, ""2020-10"": -13.41, ""2020-11"": 41.72, ""2020-12"": 18.81}",None found (historical),692.01,143.1,63.5,400.3271,19.562042,3.0876,17.74,No,15.8,28.04,XLY,3755723871,0.021300001,16.64,44743000064,1.07,1.01,Yes,9.5
BBBY,2020,581.39,7.04,47.97,520527005.0,Unknown,Unknown,6.57,1915865,3450082,29.28,2020-04,178.59,Mid,Unknown,391874048,49,217,125,N/A,7.04,N/A,N/A,N/A,N/A,1992-06-01,25.25,-71.38,"{""2019-01"": 15.4919, ""2019-02"": 19.4074, ""2019-03"": 19.7967, ""2019-04"": 15.2181, ""2019-05"": 11.4855, ""2019-06"": 10.5675, ""2019-07"": 18.0759, ""2019-08"": 19.7327, ""2019-09"": 16.6055, ""2019-10"": 10.8174, ""2019-11"": 8.584, ""2019-12"": 7.1465}","{""2020-01"": 15.34, ""2020-02"": -18.23, ""2020-03"": -17.66, ""2020-04"": 178.59, ""2020-05"": 53.34, ""2020-06"": 47.08, ""2020-07"": 151.38, ""2020-08"": 5.47, ""2020-09"": -17.84, ""2020-10"": -33.11, ""2020-11"": 15.6, ""2020-12"": -16.95}",None found (historical),,7.15,49.6,-11.874622,1.8188058,6.3765,-53.59,No,N/A,,,73938495,N/A,16.64,N/A,N/A,0.56,Unknown,27.6
WKHS,2020,544.3,9210.0,59340.0,100326583830.0,Consumer Cyclical,Auto Manufacturers,1506.0,533,810,29.28,2020-06,561.22,Mid,Unknown,38235212,0,0,123,87.872,9210.0,3820050,-26952624,0.60887,0.0068300003,2010-06-02,27.24,-60.7,"{""2019-01"": 2488.4286, ""2019-02"": 2920.5789, ""2019-03"": 2476.2857, ""2019-04"": 1976.2857, ""2019-05"": 4667.0455, ""2019-06"": 7339.5, ""2019-07"": 10699.0909, ""2019-08"": 11405.4545, ""2019-09"": 10000.5, ""2019-10"": 10141.3043, ""2019-11"": 8167.5, ""2019-12"": 9174.75}","{""2020-01"": 4.56, ""2020-02"": -3.83, ""2020-03"": -36.49, ""2020-04"": 71.35, ""2020-05"": -21.27, ""2020-06"": 561.22, ""2020-07"": -19.08, ""2020-08"": -5.58, ""2020-09"": 25.46, ""2020-10"": -38.68, ""2020-11"": 58.46, ""2020-12"": -15.7}",None found (historical),516.26,511.55,48.8,-2.2075472,0.7910751,15.2749,270.47,No,63.7,28.04,XLY,10893223,0.040799998,16.64,12920000,-6.76,0.66,No,9.6
AMC,2021,1253.23,20.1,272.0,14909186437.0,Communication Services,Entertainment,19.5,2221302,1069451,19.67,2021-01,559.7,Early,Meme/Short Squeeze,1112625920,0,0,16,N/A,20.1,551352138,90087504,0.0082,0.3679,2013-12-18,51.41,-72.36,"{""2020-01"": 68.4751, ""2020-02"": 67.7632, ""2020-03"": 37.569, ""2020-04"": 30.8286, ""2020-05"": 46.47, ""2020-06"": 53.5182, ""2020-07"": 42.4864, ""2020-08"": 51.5429, ""2020-09"": 56.4905, ""2020-10"": 34.0318, ""2020-11"": 32.78, ""2020-12"": 31.7524}","{""2021-01"": 559.7, ""2021-02"": -39.77, ""2021-03"": 11.22, ""2021-04"": 7.16, ""2021-05"": 169.0, ""2021-06"": 76.9, ""2021-07"": -31.72, ""2021-08"": 33.89, ""2021-09"": -12.89, ""2021-10"": -8.03, ""2021-11"": -8.44, ""2021-12"": 1.3}",None found (historical),1233.87,3.08,6.4,-5.263158,-0.40606388,8.8569,-54.46,No,21.2,19.36,XLC,741750569,0.1542,30.84,339200000,-1.09,2.08,No,7.0
GME,2021,760.23,4.3125,37.0975,1933617865.0,Consumer Cyclical,Specialty Retail,0.6425,48616571,26732414,19.67,2021-01,1784.06,Early,Meme/Short Squeeze,10886549504,252,252,15,80.117,4.3125,408214194,-159700000,0.08877,0.40924,2002-02-13,44.12,-88.32,"{""2020-01"": 1.2245, ""2020-02"": 0.9808, ""2020-03"": 0.9999, ""2020-04"": 1.1477, ""2020-05"": 1.1641, ""2020-06"": 1.1483, ""2020-07"": 1.0314, ""2020-08"": 1.1961, ""2020-09"": 2.1274, ""2020-10"": 3.0413, ""2020-11"": 3.1051, ""2020-12"": 4.119}","{""2021-01"": 1784.06, ""2021-02"": -54.78, ""2021-03"": 57.66, ""2021-04"": -9.33, ""2021-05"": 36.87, ""2021-06"": -14.01, ""2021-07"": -21.16, ""2021-08"": 38.43, ""2021-09"": -17.61, ""2021-10"": 3.73, ""2021-11"": -1.94, ""2021-12"": -13.63}",None found (historical),730.9,571.21,6.0,31.532469,1.9991766,7.4729,233.47,No,-13.9,29.33,XLY,448375157,0.1512,30.84,9013799936,0.77,1.82,Yes,18.9
